,Iteration,Epsilon,Choice,Song,Reward,Q-Values,MSE
0,0,0.9,random,commercial,-10,[],14.867444038391113
1,1,0.81,random,positive,-10,[],9.957015037536621
2,2,0.7290000000000001,random,piano,-10,[],31.086549758911133
3,3,0.6561000000000001,random,positive,-10,[],5.4510955810546875
4,4,0.5904900000000002,random,piano,-10,[],11.389028549194336
5,5,0.5314410000000002,random,happy,10,[],19.578256607055664
6,6,0.47829690000000014,network,happy,10,"[[ 2.4915447  -2.3061075   1.05181    -5.6910305   1.8279203  -0.59064144
   0.93856084]]",14.251458168029785
7,7,0.43046721000000016,network,happy,10,"[[ 3.0106425  -1.3067877  -1.119897   -3.1273508   1.5742469   0.02061808
   2.3058493 ]]",9.912703514099121
8,8,0.38742048900000015,network,happy,10,"[[ 3.867976    1.3924596   0.57073265 -0.8636911   0.48828098 -1.2661836
   1.335411  ]]",6.31961727142334
9,9,0.34867844010000015,network,happy,10,"[[ 6.60679     2.1904101   0.1793977  -0.41738734  0.36598065 -1.3383007
   1.5745935 ]]",2.9889285564422607
10,10,0.31381059609000017,network,happy,10,"[[ 8.908871    2.7609305   0.07365954  0.39864087 -0.0577881  -0.98948
   0.98304445]]",1.5609182119369507
11,11,0.28242953648100017,random,fun,-10,[],66.89936065673828
12,12,0.25418658283290013,network,happy,10,"[[12.333441    2.3612325   0.13969621  1.826263   -1.0220968   0.7211077
  -1.4069968 ]]",2.5599193572998047
13,13,0.22876792454961012,network,happy,10,"[[ 9.215554    0.9073002   0.44765547  1.4222214  -0.5369254   0.53263146
  -1.8744855 ]]",1.1067627668380737
14,14,0.2058911320946491,network,happy,10,"[[ 4.3358464e+00 -6.1124355e-01 -3.6529899e-03 -3.9171568e-01
   8.7123811e-01  6.2127161e-01 -1.0769335e+00]]",4.987789630889893
15,15,0.1853020188851842,network,happy,10,"[[ 5.671807   -0.986283    0.5361427   0.4578433   0.4441306  -0.55995893
  -1.6817802 ]]",3.3631815910339355
16,16,0.16677181699666577,network,happy,10,"[[ 2.8886127  -1.3716227  -0.21727061 -1.3355155   1.5379214   0.6914573
  -0.8830628 ]]",8.272442817687988
17,17,0.1500946352969992,network,happy,10,"[[ 3.1369114  -1.5811551  -0.25856188 -1.5118282   1.6136234   0.62615657
  -0.9816772 ]]",7.987721920013428
18,18,0.13508517176729928,network,happy,10,"[[ 3.6136985  -1.7470839  -0.29438773 -1.6472679   1.6099446   0.540977
  -1.140424  ]]",7.260350227355957
19,19,0.13508517176729928,network,happy,10,"[[ 4.2799997  -1.8684382  -0.31602976 -1.7364299   1.5312718   0.44320452
  -1.3515129 ]]",6.241763591766357
20,20,0.13508517176729928,network,happy,10,"[[ 5.1023436 -1.9371119 -0.3117905 -1.7720926  1.3823158  0.3314278
  -1.5910051]]",5.075557708740234
21,21,0.13508517176729928,network,happy,10,"[[ 6.0509634  -1.9391623  -0.26949042 -1.7457607   1.1678278   0.19912636
  -1.8204476 ]]",3.884721040725708
22,22,0.13508517176729928,network,happy,10,"[[ 6.917786   -2.569517    0.0946244  -1.1920307   0.53957057 -1.8476832
  -1.4099107 ]]",3.3178951740264893
23,23,0.13508517176729928,network,happy,10,"[[ 8.242326   -1.6436539  -0.11827648 -1.4948534   0.59207654  0.36967695
  -2.153123  ]]",1.88039231300354
24,24,0.13508517176729928,network,happy,10,"[[ 9.391169   -1.324024   -0.00985259 -1.2626979   0.26240563  0.53584045
  -2.1313725 ]]",1.2309926748275757
25,25,0.13508517176729928,network,happy,10,"[[10.478579   -0.8998539   0.12188905 -0.9579921  -0.07174689  0.46228963
  -1.880816  ]]",0.8182439804077148
